,s_no,route,route-collected,name,type,Date,departure_time,arrival_time,duration,price,seats_available,rating
0,0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 9887,RAJDHANI (A.C. Semi Sleeper),24-Jul,00:10,06:20,06h 10m,374,33,3.1
1,1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1424,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,00:20,06:10,05h 50m,374,38,3.5
2,2,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,01:15,09:05,07h 50m,352,33,3.4
3,3,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,01:15,09:05,07h 50m,352,31,4.3
4,4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41510,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,01:30,07:10,05h 40m,352,32,3.6
5,5,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,01:50,08:00,06h 10m,352,27,4.3
6,6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1590,RAJDHANI (A.C. Semi Sleeper),24-Jul,02:00,07:40,05h 40m,374,36,2.7
7,7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 30910,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,02:15,07:55,05h 40m,374,36,3.8
8,8,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1571,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,02:40,08:45,06h 05m,354,28,3.6
9,9,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,03:30,09:40,06h 10m,352,31,4.0
10,10,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41931,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,04:10,09:10,05h 00m,352,33,4.6
11,11,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 7621,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,04:15,10:00,05h 45m,352,30,4.5
12,12,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 4074,RAJDHANI (A.C. Semi Sleeper),24-Jul,04:20,10:00,05h 40m,374,34,3.9
13,13,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,04:30,10:40,06h 10m,352,32,2.6
14,14,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1887,RAJDHANI (A.C. Semi Sleeper),24-Jul,05:00,09:30,04h 30m,374,35,3.3
15,15,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 43162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,05:10,11:20,06h 10m,352,32,4.0
16,16,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 43362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,05:50,11:55,06h 05m,352,33,3.9
17,17,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1549,RAJADHANI AC (CONVERTED METRO LUXURY),24-Jul,06:00,11:40,05h 40m,374,27,3.0
18,18,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40577,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,06:30,11:20,04h 50m,352,29,2.7
19,19,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 42131,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,07:10,12:10,05h 00m,352,33,3.1
20,20,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 2981,RAJADHANI AC (CONVERTED METRO LUXURY),24-Jul,07:20,13:00,05h 40m,374,35,2.1
21,21,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 7693,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,08:00,13:20,05h 20m,352,30,3.6
22,22,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1650,RAJADHANI AC (CONVERTED METRO LUXURY),24-Jul,08:20,14:00,05h 40m,374,34,2.0
23,23,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 31110,RAJDHANI (A.C. Semi Sleeper),24-Jul,08:40,14:20,05h 40m,374,36,3.9
24,24,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 17162,eGARUDA,24-Jul,09:00,15:10,06h 10m,415,35,3.3
25,25,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 4076,RAJADHANI AC (CONVERTED METRO LUXURY),24-Jul,09:00,14:45,05h 45m,374,37,2.3
26,26,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 17962,eGARUDA,24-Jul,09:30,15:40,06h 10m,415,32,3.7
27,27,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 9923,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,09:50,16:00,06h 10m,352,32,3.4
28,28,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 9934,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,10:10,17:20,07h 10m,352,33,3.9
29,29,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1892,RAJDHANI (A.C. Semi Sleeper),24-Jul,10:20,16:15,05h 55m,374,36,2.5
30,30,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1464,RAJDHANI (A.C. Semi Sleeper),24-Jul,10:40,16:50,06h 10m,374,35,2.1
31,31,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40131,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,11:00,16:00,05h 00m,352,33,4.5
32,32,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 2991,RAJDHANI (A.C. Semi Sleeper),24-Jul,11:20,17:00,05h 40m,374,36,2.4
33,33,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40177,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,11:40,16:20,04h 40m,352,33,4.2
34,34,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1805,RAJADHANI AC (CONVERTED METRO LUXURY),24-Jul,11:45,17:40,05h 55m,374,34,3.0
35,35,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1582,RAJDHANI (A.C. Semi Sleeper),24-Jul,12:10,16:40,04h 30m,374,34,3.1
36,36,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,12:20,18:30,06h 10m,352,33,2.2
37,37,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1468,RAJDHANI (A.C. Semi Sleeper),24-Jul,12:40,17:10,04h 30m,374,37,3.0
38,38,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 9945,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,13:00,19:10,06h 10m,352,31,2.7
39,39,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1547,RAJDHANI (A.C. Semi Sleeper),24-Jul,13:20,19:10,05h 50m,374,37,1.7
40,40,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 18762,eGARUDA,24-Jul,13:30,19:55,06h 25m,415,35,3.4
41,41,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40331,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,13:40,18:30,04h 50m,352,33,3.3
42,42,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1600,RAJDHANI (A.C. Semi Sleeper),24-Jul,14:00,19:40,05h 40m,374,35,2.9
43,43,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,14:20,20:30,06h 10m,352,33,3.2
44,44,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1432,RAJDHANI (A.C. Semi Sleeper),24-Jul,14:30,19:15,04h 45m,374,37,2.2
45,45,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,14:50,21:00,06h 10m,352,33,3.3
46,46,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1402,RAJDHANI (A.C. Semi Sleeper),24-Jul,15:00,19:30,04h 30m,374,37,2.0
47,47,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40110,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,15:10,21:20,06h 10m,352,33,4.0
48,48,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 30162,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,15:20,21:00,05h 40m,374,41,3.8
49,49,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40310,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,15:30,21:40,06h 10m,352,33,4.1
50,50,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 30362,RAJDHANI (A.C. Semi Sleeper),24-Jul,15:30,22:00,06h 30m,374,37,2.8
51,51,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1426,RAJDHANI (A.C. Semi Sleeper),24-Jul,15:40,20:10,04h 30m,374,37,1.8
52,52,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40531,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,15:50,20:50,05h 00m,352,33,4.4
53,53,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 12962,eGARUDA,24-Jul,16:00,22:10,06h 10m,415,35,3.8
54,54,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1102,RAJDHANI (A.C. Semi Sleeper),24-Jul,16:00,21:40,05h 40m,374,37,2.9
55,55,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,16:10,22:20,06h 10m,352,33,2.7
56,56,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40510,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,16:30,22:40,06h 10m,352,33,2.5
57,57,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1344,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,16:40,22:35,05h 55m,374,39,3.4
58,58,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40130,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,16:50,21:40,04h 50m,352,33,3.4
59,59,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 12162,eGARUDA,24-Jul,17:00,23:10,06h 10m,415,35,3.6
60,60,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40731,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,17:10,21:50,04h 40m,352,33,3.8
61,61,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 30562,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,17:20,23:00,05h 40m,374,41,3.8
62,62,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40710,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,17:30,23:40,06h 10m,352,33,3.7
63,63,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,17:50,22:40,04h 50m,352,33,3.3
64,64,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1412,RAJDHANI (A.C. Semi Sleeper),24-Jul,18:00,23:40,05h 40m,374,37,3.5
65,65,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 7663,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,18:05,23:35,05h 30m,352,30,3.8
66,66,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40931,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,18:10,23:00,04h 50m,352,33,2.3
67,67,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 30762,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,18:20,22:50,04h 30m,374,41,3.6
68,68,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 7772,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,18:30,00:45,06h 15m,352,31,3.5
69,69,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 40910,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,18:30,00:35,06h 05m,352,33,3.3
70,70,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,18:50,01:00,06h 10m,352,33,4.4
71,71,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41131,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,19:10,00:40,05h 30m,352,33,3.9
72,72,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 30110,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,19:20,01:00,05h 40m,374,41,4.1
73,73,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41110,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,19:30,01:40,06h 10m,352,33,3.2
74,74,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 30962,RAJDHANI (A.C. Semi Sleeper),24-Jul,19:30,02:00,06h 30m,374,37,2.5
75,75,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1448,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,19:40,01:20,05h 40m,374,41,4.5
76,76,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,19:50,02:00,06h 10m,352,33,3.9
77,77,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 1637,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),24-Jul,20:00,01:40,05h 40m,374,41,3.4
78,78,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41331,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,20:10,00:55,04h 45m,352,33,3.8
79,79,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad?fromCityId=134&toCityId=124&fromCityName=Vijayawada&toCityName=Hyderabad&busType=Any&onward=23-Jul-2024,TSRTC - 41310,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",24-Jul,20:30,02:30,06h 00m,352,33,4.7
